Trip,PID,Age,Kills,TripDays
C082697A,3394,31,1,4
C082697A,3327,38,0,4
C082697A,3313,39,0,4
C082697A,3220,50,0,4
C082697A,3157,56,0,4
C082697A,3146,57,0,4
C082697A,3144,58,1,4
C082697A,7089,59,1,4
C082697A,3126,60,2,4
C082697A,7085,62,1,4
C102197A,3394,31,1,3
C102197A,3327,38,0,3
C102197A,3238,48,3,3
C102197A,3220,50,0,3
C102197A,3144,58,2,3
C102197A,3086,67,0,3
D030198A,3386,33,0,1
D030198B,3390,33,0,1
D030198C,3182,54,0,1
D051198A,3254,47,0,1
D061398B,3094,66,0,1
D061498A,3394,32,0,1
D061498A,3386,33,0,1
D061498A,3390,33,0,1
D061498A,3371,35,0,1
D061498A,3316,40,0,1
D061498A,3254,47,0,1
D061498A,3217,51,0,1
D061498A,3172,55,0,1
D061498A,3166,56,0,1
D061498A,3139,59,0,1
D061498A,3111,63,0,1
D061798A,3094,66,0,1
D062198A,3390,33,0,1
D070298A,3111,63,0,1
D071098A,3390,33,0,1
D071098A,3316,40,0,1
D071298A,3416,30,0,1
D071298A,3094,66,0,1
D071298B,3414,30,0,1
D073098A,3371,35,0,1
D073098B,3394,32,1,1
D073098B,3322,40,0,1
D073198A,3416,30,0,1
D073198A,3094,66,0,1
D080598A,7032,56,0,1
D080698A,3094,66,0,1
D080698B,3182,54,0,1
D080698C,3405,31,0,1
D081298A,3405,31,0,1
D081598A,3166,56,0,1
D081998A,3416,30,0,1
D081998A,3094,66,0,1
D081998B,7032,56,0,1
D082098A,3378,35,0,1
D082198A,3548,17,0,1
D082198A,3349,37,0,1
D082298B,3240,49,0,1
D082398A,3111,63,0,1
D082998A,3394,32,0,1
D083098A,3094,66,0,1
D083098B,3182,54,0,1
D083098C,3240,49,0,1
D083098D,7032,56,0,1
D083098E,3394,32,1,1
D101397Z,3094,65,0,1
D102397Z,3139,58,0,1
K081798A,3394,32,0,1
K082598A,3394,32,0,1
S051398A,3390,33,0,1
S051398B,3316,40,0,1
S051398C,3327,39,0,1
S051398D,3094,66,0,1
S051398E,3414,30,0,1
S051398F,3322,40,0,1
S051398G,3172,55,1,1
S051398H,3394,32,0,1
S051398I,3254,47,0,1
S051398J,3480,22,0,1
S051398K,3139,59,0,1
S121997F,3111,62,1,1
S121997G,3316,39,0,1
S121997H,3166,55,0,1
S121997I,3416,29,0,1
S121997J,3094,65,0,1
S121997K,3302,41,0,1
S121997L,3139,58,1,1
S121997M,3322,39,1,1
S121997N,3172,54,2,1
T010598A,3495,20,0,5
T010598A,3217,51,0,5
T010598A,3166,56,0,5
T010598A,7032,56,0,5
T010598A,3111,63,0,5
T010598B,3480,22,0,6
T010598B,3139,59,0,6
T010598B,3094,66,0,6
T010798A,3394,32,0,4
T010798A,3401,32,0,4
T010798A,3316,40,0,4
T010798A,3182,54,0,4
T010798A,3172,55,0,4
T011998A,3486,21,0,7
T011998A,3217,51,0,7
T011998A,7032,56,0,7
T011998A,3111,63,3,7
T011998B,3436,27,0,5
T011998B,3416,30,0,5
T011998B,3405,31,0,5
T011998B,3394,32,0,5
T011998B,3390,33,0,5
T011998B,3316,40,1,5
T011998B,3172,55,4,5
T012098A,3548,17,0,2
T012098A,3450,25,0,2
T012098A,3349,37,1,2
T012098B,3495,20,0,7
T012098B,3480,22,0,7
T012098B,3254,47,0,7
T012098B,3166,56,0,7
T012098B,3094,66,0,7
T012298A,3386,33,0,2
T012798A,3390,33,0,2
T012998A,3371,35,0,9
T012998A,3139,59,0,9
T012998B,3254,47,2,4
T012998B,3172,55,0,4
T012998B,3111,63,2,4
T020498A,3436,27,0,3
T020498A,3405,31,0,3
T020498A,3390,33,0,3
T021298A,3495,20,0,6
T021298A,3414,30,0,6
T021298A,3416,30,0,6
T021298A,3378,35,0,6
T021298A,3240,49,0,6
T021298A,3166,56,1,6
T021298A,3094,66,0,6
T021498A,3436,27,0,2
T021498A,3401,32,0,2
T021498A,3390,33,0,2
T022598A,3094,66,0,3
T032398A,3254,47,0,10
T032398A,3172,55,0,10
T032398A,3111,63,1,10
T041098A,3572,17,0,3
T041098A,3405,31,0,3
T041098A,3394,32,0,3
T041098A,3401,32,0,3
T041098A,3386,33,0,3
T041098A,3327,39,1,3
T041098A,3316,40,2,3
T041098A,3254,47,1,3
T041098A,3240,49,0,3
T041098A,3172,55,2,3
T041098A,3166,56,0,3
T041098A,7032,56,0,3
T041098A,3111,63,5,3
T041098A,3094,66,0,3
T041398A,3240,49,0,7
T041398A,3182,54,0,7
T041398A,3139,59,0,7
T041798A,3394,32,0,3
T041798A,3390,33,0,3
T041798A,3371,35,0,3
T041798A,3316,40,0,3
T041898A,3349,37,0,2
T041898A,3302,42,0,2
T041998A,3327,39,0,3
T041998A,3254,47,0,3
T041998A,3172,55,0,3
T041998A,3111,63,0,3
T042798A,3548,17,0,5
T042798A,3414,30,0,5
T042798A,3394,32,0,5
T042798A,3390,33,2,5
T042798A,3371,35,0,5
T042798A,3349,37,0,5
T042798A,3327,39,0,5
T042798A,3316,40,1,5
T042798A,3322,40,1,5
T042798A,3302,42,0,5
T042798A,3240,49,0,5
T042798A,3172,55,2,5
T042798A,3094,66,0,5
T042798A,3172,55,0,2
T050498A,3217,51,0,5
T050498A,3172,55,2,5
T050498A,3111,63,2,5
T052298A,3217,51,1,9
T052298A,3172,55,2,9
T052298A,3111,63,2,9
T060298A,3480,22,0,3
T060298A,3139,59,0,3
T062098A,3394,32,0,3
T062098A,3254,47,0,3
T062098A,3172,55,0,3
T062198A,3414,30,0,5
T062198A,3182,54,0,5
T062198A,3094,66,0,5
T062598A,3390,33,0,2
T062998A,3390,33,4,6
T062998A,3316,40,2,6
T062998A,7032,56,0,6
T062998A,3094,66,0,6
T070198A,3240,49,0,4
T070198A,3182,54,0,4
T070198A,3166,56,0,4
T070198A,3139,59,1,4
T070298A,3394,32,0,2
T070298A,3254,47,0,2
T070498A,3172,55,0,2
T070498A,3111,63,0,2
T071098A,3394,32,1,2
T071098A,3401,32,0,2
T071098A,3371,35,1,2
T071498A,3495,20,0,12
T071498A,3390,33,6,12
T071498A,3378,35,0,12
T071498A,3316,40,1,12
T071498A,3172,55,3,12
T071498A,3166,56,2,12
T071498A,7032,56,0,12
T071498A,3128,61,0,12
T071498A,3172,55,0,2
T071498B,8024,20,0,11
T071498B,3416,30,2,11
T071498B,3394,32,2,11
T071498B,3349,37,0,11
T071498B,3111,63,5,11
T071498B,3094,66,0,11
T071498C,3182,54,0,5
T071498C,3139,59,0,5
T073198A,3394,32,0,2
T073198A,3401,32,0,2
T073198A,3390,33,0,2
T073198A,3371,35,0,2
T073198A,3316,40,0,2
T073198A,3322,40,0,2
T073198A,3240,49,0,2
T073198A,3139,59,0,2
T073198A,3128,61,0,2
T073198B,3217,51,0,10
T073198B,3172,55,2,10
T073198B,3166,56,0,10
T073198B,7032,56,0,10
T080698A,3378,35,0,7
T080698A,3316,40,0,7
T080698A,7032,56,0,7
T080698B,3240,49,0,5
T080698B,3139,59,0,5
T080798A,3394,32,1,6
T080798A,3254,47,0,6
T080798A,3128,61,0,6
T080798A,3111,63,0,6
T080798B,3182,54,0,3
T081298A,3480,22,0,2
T081897A,3495,19,0,3
T081897A,3371,34,0,3
T081897A,3172,54,0,3
T081897A,3166,55,0,3
T081897A,3111,62,1,3
T081897A,3094,65,0,3
T082098A,3394,32,1,3
T082098A,3401,32,0,3
T082098A,3390,33,2,3
T082098A,3371,35,0,3
T082098B,3217,51,1,14
T082098B,3172,55,3,14
T082098B,3166,56,0,14
T082198A,3434,28,0,4
T082198A,3378,35,0,4
T082198A,3316,40,0,4
T082198A,3182,54,0,4
T082198A,7032,56,0,4
T082198A,3139,59,0,4
T082198A,3094,66,0,4
T082998A,3390,33,1,5
T082998A,3378,35,0,5
T082998A,3316,40,0,5
T082998A,3254,47,0,5
T082998A,3111,63,0,5
T090197A,3240,48,0,9
T090197A,3217,50,0,9
T090197A,3166,55,0,9
T090997A,3182,53,0,5
T090997A,7032,55,0,5
T090997A,3139,58,0,5
T090997A,3094,65,0,5
T091297A,3172,54,0,2
T091297A,3111,62,0,2
T091297B,3480,21,0,2
T091297B,3414,29,0,2
T091297B,3371,34,0,2
T091297C,3465,22,0,3
T091297C,3390,32,0,3
T091297C,3316,39,0,3
T091797A,3525,18,0,4
T091797A,3254,46,0,4
T091797A,3172,54,0,4
T091797A,3128,60,0,4
T091797A,3111,62,0,4
T092397A,3525,18,0,4
T092397A,3465,22,0,4
T092397A,3254,46,0,4
T092397A,3172,54,0,4
T092397A,3146,57,0,4
T092397A,3111,62,0,4
T100297A,3480,21,0,9
T100297A,3465,22,0,9
T100297A,3390,32,0,9
T100297A,3371,34,0,9
T100297A,3316,39,0,9
T100297A,3139,58,0,9
T100497A,3548,16,0,5
T100497A,3450,24,0,5
T100497A,3349,36,0,5
T100497A,3302,41,0,5
T100497A,3146,57,0,5
T100497B,3240,48,0,8
T100497B,3217,50,0,8
T100497B,3182,53,0,8
T100497B,3166,55,0,8
T100497B,3111,62,0,8
T102097A,3316,39,0,3
T102097A,3254,46,1,3
T102097A,3172,54,1,3
T102097A,3111,62,1,3
T102697A,3217,50,4,15
T102697A,3166,55,0,15
T102997A,3480,21,0,3
T102997A,3450,24,0,3
T102997A,3436,26,0,3
T102997A,3390,32,1,3
T102997A,3371,34,0,3
T102997A,3349,36,1,3
T102997A,3254,46,2,3
T102997A,3172,54,2,3
T102997A,3111,62,0,3
T110897A,3390,32,3,5
T110897A,3371,34,1,5
T110897A,3316,39,0,5
T110897A,3322,39,2,5
T110897A,3302,41,1,5
T110897A,3172,54,1,5
T112097A,3240,48,0,5
T112097A,3217,50,1,5
T112097A,3166,55,0,5
T112097A,3111,62,6,5
T112097B,3182,53,0,10
T112097B,3139,58,0,10
T112097B,3094,65,0,10
T112597A,3386,32,0,3
T112597A,3254,46,0,3
T112597A,3172,54,0,3
T120497A,3529,17,0,3
T120497A,3316,39,0,3
T120497A,3254,46,0,3
T120497A,3172,54,0,3
T120997A,3182,53,0,5
T120997A,3094,65,0,5
T121597A,3254,46,0,4
T121597A,3128,60,0,4